"rating","text","ts","bot_percentage","profileimage"
"0.13636363636363635","Watch | Stars of '#LostInSpace' Molly Parker and Toby Stephens on their new mission https://t.co/fdTnmJe7ms","1522981005.0","",""
"-0.1","Boy, 7, tries to recreate pic from when he was 2, gets stuck in hole\nhttps://t.co/ophqtafJ2a https://t.co/PbqEeKVXDU","1522981000.0","",""
"0.5","This is a news alert. More details to follow.  #JustIn #NDTVNews https://t.co/Ze9ZgikSX5","1522980978.0","",""
"0.0","Maharashtra woman fought off big cat with a stick. Then took a selfie\nhttps://t.co/2YdfsNxV5M https://t.co/a6yKP74xhv","1522980894.0","",""
"0.0","RT @Sports_NDTV: India blank Scotland 5-0 in the Badminton Mixed Team Event, Group A\n\n#GC2018 #GC2018Badminton\n\nLive: https://t.co/PmLNYihN…","1522980254.0","",""
"0.5","Top stories now on https://t.co/Fbzw6mR9Q5 \n\n#NDTVTopStories https://t.co/2atDkBXZrR","1522980013.0","",""
"0.3","In Delhi, robbers loot cash, jewellery worth Rs. 35 lakh at gunpoint https://t.co/n1GjC4YrGW https://t.co/uGQLCfoBjk","1522980001.0","",""
"0.0","UP man bites off brother's nose, attacks father after denied money for alcohol https://t.co/o3UnTR5ZEo https://t.co/xQpoKqIsSm","1522980000.0","",""
"0.0","Man found beheaded in Kashmir orchard, 2 days after kidnapping by Lashkar https://t.co/QZR7d8Va7r https://t.co/c4ELF8mAtx","1522979961.0","",""
"-0.16666666666666666","RT @Gadgets360: The GoPro Hero6 Black boasts of 4K video capture at 60fps and 1080p video at 240fps. We review https://t.co/bDxzO7n8f4 http…","1522979748.0","",""
"0.0","#GC2018 Women's Pool A hockey match: #GurjitKaur scores a brace as dominant India beat Malaysia 4-1 #GC2018hockey… https://t.co/6aIxLSm9zb","1522979377.0","",""
"0.35714285714285715","TDP MPs stage a ""dharna"" in Lok Sabha Speaker's chamber over special category status for Andhra Pradesh (ANI) https://t.co/hrlQdvZ5N5","1522979259.0","",""
"-0.1","RT @moviesndtv: Kapil Sharma's Show To Go Off Air Sooner Than Expected? Details Here https://t.co/fakkXYlt82 https://t.co/H4pStGnhS4","1522979056.0","",""
"-0.05000000000000001","RT @Sports_NDTV: India vs Scotland, Badminton Mixed Team Event, Group A: The pair of Pranaav Chopra and N Sikki Reddy takes the first game…","1522979054.0","",""
"0.0","Donald Trump Says He Didn't Know His Attorney Paid $130,000 To Porn Star Stormy Daniels https://t.co/LumWQwyplZ… https://t.co/ITH8cJ56ou","1522978936.0","",""
"0.0","Salman Khan refused 'dal-roti' dinner, 'khichdi' breakfast: report\nhttps://t.co/XxZ6NdlkHO https://t.co/uiiyOKFdMd","1522978800.0","",""
"0.0","RT @Sports_NDTV: #CommonwealthGames 2018: Deepak Lather claims bronze, gives India fourth weightlifting medal\n\n#GC2018 #CWG2018  #DeepakLat…","1522978474.0","",""
"0.35714285714285715","Chandrababu Naidu hops on bicycle to intensify protest for special status https://t.co/TRNUkS5sGo\n\n#AndhraPradesh https://t.co/pAMWv1vI86","1522978444.0","",""
"0.1","Why Donald Trump went after Jeff Bezos: Two billionaires across a cultural divide https://t.co/jWAfBM2D7g https://t.co/WVOi58YqZA","1522978254.0","",""
"0.0","#JustIn | South Africa's Jacob Zuma arrives at court for graft hearing: news agency AFP","1522978245.0","",""
"-0.25","""Zombie-like"" raccoons are terrorising residents of this small town https://t.co/gQ8cou2E5j https://t.co/axQ72PAgUq","1522978202.0","",""
"0.35714285714285715","YSRCP Lok Sabha MPs submit their resignations to Speaker Sumitra Mahajan over special status for Andhra Pradesh (AN… https://t.co/Mt6kbRuvdq","1522978102.0","",""
"0.0","Mohammed bin Salman, reformist prince who has shaken Saudi Arabia\nhttps://t.co/Rk8umZejg2 https://t.co/1QzMH4SQ6U","1522977999.0","",""
"0.0","All party meeting over setting up of #CauveryManagementBoard underway in Chennai (ANI)\n\n#CauveryIssue https://t.co/yjjSOitKRJ","1522977926.0","",""
"0.0","RT @Sports_NDTV: India vs Scotland, Badminton Mixed Team Event, Group A: The pair of Satwik Rankireddy and Chirag Chandrashekhar Shetty ext…","1522977863.0","",""
"0.0","RT @bandbaajaa: In Pics: Ishqbaaaz Actor Nakuul Mehta And Wife Jankee Are Holidaying In Japan\nhttps://t.co/LiAvJlXv1C\n#bandbaajaa #bbweddin…","1522977445.0","",""
"-0.2","Body of 4-year-old girl found with hands missing, 300 metres from home https://t.co/OeQ1K2w4Mk https://t.co/pHLK4vv5gB","1522977220.0","",""
